City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Kualakapuas,ID,2021-06-17 23:55:39,-3.0091,114.3876,75.36,94,100,0.4
136,San Quintin,MX,2021-06-17 23:55:39,30.4833,-115.95,72.03,63,1,8.75
137,Kirakira,SB,2021-06-17 23:55:40,-10.4544,161.9205,85.26,69,10,7.36
138,Sao Joao Da Barra,BR,2021-06-17 23:55:40,-21.6403,-41.0511,67.84,83,56,9.69
139,Klaksvik,FO,2021-06-17 23:55:40,62.2266,-6.589,45.52,93,95,12.46
140,Hambantota,LK,2021-06-17 23:55:41,6.1241,81.1185,79.14,81,80,15.82
141,Bend,US,2021-06-17 23:55:41,44.0582,-121.3153,85.24,21,1,3.0
142,Morant Bay,JM,2021-06-17 23:53:38,17.8815,-76.4093,83.82,84,67,8.48
143,Esmeraldas,BR,2021-06-17 23:55:42,-19.7625,-44.3139,67.24,52,4,3.27
144,Bambous Virieux,MU,2021-06-17 23:55:42,-20.3428,57.7575,70.05,88,75,5.75
145,Cidreira,BR,2021-06-17 23:55:43,-30.1811,-50.2056,54.05,84,49,6.29
146,Tazovskiy,RU,2021-06-17 23:55:43,67.4667,78.7,38.19,94,99,16.98
147,Tiarei,PF,2021-06-17 23:55:44,-17.5333,-149.3333,84.22,80,87,17.29
148,Homer,US,2021-06-17 23:55:44,59.6425,-151.5483,64.08,68,86,4.0
149,Kaitangata,NZ,2021-06-17 23:55:44,-46.2817,169.8464,49.93,83,68,9.51
150,Lososina,RU,2021-06-17 23:55:45,48.9975,140.3106,59.14,78,93,6.42
151,Luderitz,NA,2021-06-17 23:55:45,-26.6481,15.1594,62.53,49,0,7.78
152,Morrope,PE,2021-06-17 23:55:45,-6.5417,-80.0111,68.79,77,12,15.41
153,Basco,PH,2021-06-17 23:55:46,20.4487,121.9702,84.11,84,34,23.8
154,Urumqi,CN,2021-06-17 23:52:14,43.801,87.6005,70.75,27,0,8.95
155,Tatawin,TN,2021-06-17 23:55:46,32.9297,10.4518,79.68,50,63,5.26
156,Yellowknife,CA,2021-06-17 23:55:46,62.456,-114.3525,64.92,42,20,2.3
157,Tessalit,ML,2021-06-17 23:55:47,20.1986,1.0114,91.96,8,0,11.72
158,Barpali,IN,2021-06-17 23:55:47,21.2,83.5833,76.5,86,100,6.87
159,Adrar,MR,2021-06-17 23:55:48,20.5022,-10.0711,88.9,15,3,18.39
160,Hasaki,JP,2021-06-17 23:55:48,35.7333,140.8333,76.17,72,5,6.78
161,Asmar,AF,2021-06-17 23:55:48,35.0333,71.3581,69.53,41,2,8.84
162,Sorong,ID,2021-06-17 23:55:49,-0.8833,131.25,79.5,82,75,7.56
163,Samarai,PG,2021-06-17 23:55:49,-10.6167,150.6667,79.86,83,68,12.93
164,Port Elizabeth,ZA,2021-06-17 23:55:49,-33.918,25.5701,61.09,82,20,14.97
165,Raigarh,IN,2021-06-17 23:55:50,21.9,83.4,75.29,88,100,8.05
166,College,US,2021-06-17 23:55:50,64.8569,-147.8028,58.66,85,90,10.36
167,Thurso,GB,2021-06-17 23:55:50,58.5927,-3.5259,50.25,88,67,10.98
168,Immokalee,US,2021-06-17 23:55:51,26.4187,-81.4173,80.91,83,1,4.61
169,Ponta Do Sol,PT,2021-06-17 23:55:51,32.6667,-17.1,66.83,53,73,7.58
170,Fairbanks,US,2021-06-17 23:51:22,64.8378,-147.7164,57.6,85,90,10.36
171,Chokurdakh,RU,2021-06-17 23:55:52,70.6333,147.9167,49.33,52,98,6.8
172,Port Shepstone,ZA,2021-06-17 23:55:52,-30.7414,30.455,63.66,81,1,8.19
173,Reo,BF,2021-06-17 23:55:52,12.3167,-2.4667,89.15,44,35,4.83
174,Vadlapudi,IN,2021-06-17 23:55:53,14.3167,79.8,85.23,52,100,12.59
175,Kem,RU,2021-06-17 23:55:53,64.9555,34.5793,59.68,66,100,11.54
176,Lagoa,PT,2021-06-17 23:55:54,39.05,-27.9833,64.29,68,94,12.26
177,Zatoka,UA,2021-06-17 23:55:54,46.0725,30.4654,66.74,89,100,22.64
178,Leh,IN,2021-06-17 23:55:54,34.1667,77.5833,48.2,51,56,5.03
179,Clyde River,CA,2021-06-17 23:55:55,70.4692,-68.5914,34.03,100,90,11.5
180,Butaritari,KI,2021-06-17 23:55:55,3.0707,172.7902,83.3,68,44,11.18
181,Leningradskiy,RU,2021-06-17 23:55:55,69.3833,178.4167,40.46,86,100,3.8
182,Mount Gambier,AU,2021-06-17 23:55:56,-37.8333,140.7667,49.91,93,57,6.91
183,Nouadhibou,MR,2021-06-17 23:55:56,20.931,-17.0347,69.78,73,0,20.71
184,Viedma,AR,2021-06-17 23:55:57,-40.8135,-62.9967,41.38,64,92,5.79
185,Durban,ZA,2021-06-17 23:55:57,-29.8579,31.0292,61.92,95,3,9.55
186,Zhigansk,RU,2021-06-17 23:55:57,66.7697,123.3711,71.2,38,39,7.74
187,Muisne,EC,2021-06-17 23:55:58,0.6,-80.0333,76.14,85,95,8.66
188,Singapore,SG,2021-06-17 23:52:12,1.2897,103.8501,77.04,97,75,10.36
189,Shimoda,JP,2021-06-17 23:55:58,34.6667,138.95,74.1,80,74,4.05
190,Maniitsoq,GL,2021-06-17 23:55:59,65.4167,-52.9,39.18,76,94,4.36
191,Waterloo,CA,2021-06-17 23:55:40,43.4668,-80.5164,76.87,41,1,11.5
192,Pochutla,MX,2021-06-17 23:55:59,15.7432,-96.4661,78.82,92,100,8.28
193,Juneau,US,2021-06-17 23:55:59,58.3019,-134.4197,68.85,75,72,1.83
194,Hailar,CN,2021-06-17 23:56:00,49.2,119.7,51.57,92,100,8.03
195,Lavrentiya,RU,2021-06-17 23:56:00,65.5833,-171.0,42.89,88,90,8.05
196,Sola,VU,2021-06-17 23:56:00,-13.8833,167.55,81.28,77,29,16.84
197,Kruisfontein,ZA,2021-06-17 23:56:01,-34.0033,24.7314,56.88,81,8,12.75
