City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
156,Andros Town,24.7,-77.7667,82.36,77,100,12.93,BS,overcast clouds,2021-06-19 01:56:13
157,Cidreira,-30.1811,-50.2056,57.69,83,9,11.39,BR,clear sky,2021-06-19 01:56:13
158,Les Cayes,18.2,-73.75,79.79,87,73,9.8,HT,broken clouds,2021-06-19 01:56:13
159,Pisco,-13.7,-76.2167,64.45,82,0,6.91,PE,clear sky,2021-06-19 01:46:31
160,Cherskiy,68.75,161.3,47.26,59,98,4.52,RU,overcast clouds,2021-06-19 01:47:01
161,Ust-Nera,64.5667,143.2,77.05,25,0,3.29,RU,clear sky,2021-06-19 01:56:14
162,Hirara,24.8,125.2833,91.67,75,75,5.75,JP,broken clouds,2021-06-19 01:56:14
163,Texarkana,33.4251,-94.0477,80.35,64,0,6.2,US,clear sky,2021-06-19 01:52:23
164,Avarua,-21.2078,-159.775,77.05,83,75,18.41,CK,broken clouds,2021-06-19 01:53:00
165,Prieska,-29.6641,22.7474,48.47,35,0,4.72,ZA,clear sky,2021-06-19 01:56:15
166,Port Washington,40.8257,-73.6982,79.02,62,100,1.01,US,overcast clouds,2021-06-19 01:56:16
167,Haines Junction,60.7522,-137.5108,67.95,34,38,5.75,CA,scattered clouds,2021-06-19 01:56:16
168,Tiarei,-17.5333,-149.3333,86.02,82,5,14.27,PF,clear sky,2021-06-19 01:56:17
169,San Jose,37.3394,-121.895,101.97,36,20,1.99,US,few clouds,2021-06-19 01:52:20
170,Nemuro,43.3236,145.575,54.03,85,87,6.13,JP,overcast clouds,2021-06-19 01:56:17
171,Shenjiamen,29.9576,122.298,71.85,92,100,13.85,CN,overcast clouds,2021-06-19 01:54:03
172,Suifenhe,44.4,131.1667,63.63,65,100,7.52,CN,overcast clouds,2021-06-19 01:56:18
173,Clyde River,70.4692,-68.5914,32.23,100,90,10.36,CA,light snow,2021-06-19 01:56:19
174,Khatanga,71.9667,102.5,64.18,60,80,14.54,RU,broken clouds,2021-06-19 01:41:56
175,Launceston,-41.45,147.1667,55.8,73,75,5.99,AU,broken clouds,2021-06-19 01:56:19
176,Biltine,14.5333,20.9167,84.36,44,100,8.99,TD,overcast clouds,2021-06-19 01:56:20
177,Anloga,5.7947,0.8973,80.82,80,99,16.24,GH,overcast clouds,2021-06-19 01:56:20
178,Akdepe,42.0551,59.3788,75.29,30,37,12.06,TM,scattered clouds,2021-06-19 01:56:21
179,Fulton,33.7668,-84.4499,83.39,61,90,4.61,US,overcast clouds,2021-06-19 01:51:38
180,Fare,-16.7,-151.0167,80.6,76,4,16.98,PF,light rain,2021-06-19 01:56:21
181,Fortuna,40.5982,-124.1573,79.2,67,1,4.0,US,clear sky,2021-06-19 01:56:22
182,Ambilobe,-13.2,49.05,66.54,91,71,2.89,MG,broken clouds,2021-06-19 01:56:22
183,Nakhon Thai,17.1006,100.8374,84.11,67,18,4.21,TH,few clouds,2021-06-19 01:56:22
184,Amahai,-3.3333,128.9167,82.17,73,100,5.08,ID,overcast clouds,2021-06-19 01:56:23
185,Oeiras Do Para,-2.0031,-49.8544,73.58,98,100,3.58,BR,light rain,2021-06-19 01:56:23
186,Flinders,-34.5833,150.8552,60.08,84,100,24.14,AU,light rain,2021-06-19 01:56:24
187,Kayes,14.0,-11.0,90.77,38,52,10.27,ML,broken clouds,2021-06-19 01:56:24
188,Severo-Yeniseyskiy,60.3725,93.0408,67.86,47,5,2.86,RU,clear sky,2021-06-19 01:56:25
189,Hornepayne,49.2138,-84.7705,49.68,96,97,10.13,CA,overcast clouds,2021-06-19 01:56:25
190,Leh,34.1667,77.5833,47.01,71,95,2.68,IN,overcast clouds,2021-06-19 01:56:25
191,Bamnet Narong,15.4992,101.6897,88.72,66,22,11.03,TH,few clouds,2021-06-19 01:56:26
192,Rio Gallegos,-51.6226,-69.2181,28.45,86,0,1.14,AR,clear sky,2021-06-19 01:56:26
193,Boysun,38.2061,67.1986,75.56,14,0,1.59,UZ,clear sky,2021-06-19 01:56:26
194,Diapaga,12.0708,1.7889,79.95,67,100,3.87,BF,overcast clouds,2021-06-19 01:56:27
195,Hajipur,25.6833,85.2167,71.58,94,90,13.8,IN,overcast clouds,2021-06-19 01:56:27
196,Karratha,-20.7377,116.8463,68.27,46,0,18.14,AU,clear sky,2021-06-19 01:56:28
197,Ishigaki,24.3448,124.1572,86.13,84,75,5.75,JP,broken clouds,2021-06-19 01:56:29
198,Vinh Yen,21.31,105.5967,93.15,56,3,6.08,VN,clear sky,2021-06-19 01:56:29
199,La Ronge,55.1001,-105.2842,66.45,39,40,4.61,CA,scattered clouds,2021-06-19 01:56:29
200,Berbera,10.4396,45.0143,91.06,40,100,27.87,SO,overcast clouds,2021-06-19 01:56:30
201,Vostok,46.4856,135.8833,64.11,52,100,8.14,RU,moderate rain,2021-06-19 01:56:30
202,Emerald,-23.5333,148.1667,62.35,39,23,6.91,AU,few clouds,2021-06-19 01:55:55
203,Anori,-3.7728,-61.6442,74.14,93,68,3.31,BR,broken clouds,2021-06-19 01:56:08
204,Poya,-21.35,165.15,79.66,67,99,10.96,NC,overcast clouds,2021-06-19 01:56:31
205,Andenes,69.3143,16.1194,48.18,87,90,17.27,NO,overcast clouds,2021-06-19 01:56:32
206,Saint-Philippe,-21.3585,55.7679,65.79,78,92,8.43,RE,light rain,2021-06-19 01:42:19
207,Havoysund,70.9963,24.6622,45.48,87,100,3.94,NO,overcast clouds,2021-06-19 01:55:58
208,Huanren,41.2647,125.3667,73.8,48,6,7.43,CN,clear sky,2021-06-19 01:56:33
209,Daru,-9.0763,143.2092,79.61,73,100,13.4,PG,overcast clouds,2021-06-19 01:56:33
210,Dunedin,-45.8742,170.5036,50.81,61,100,1.01,NZ,overcast clouds,2021-06-19 01:56:34
211,Jinchang,38.4953,102.1739,69.13,29,100,4.9,CN,overcast clouds,2021-06-19 01:56:34
212,Sault Sainte Marie,46.5168,-84.3333,63.16,59,20,10.36,CA,few clouds,2021-06-19 01:52:29
213,Maningrida,-12.0667,134.2667,82.78,39,49,14.38,AU,scattered clouds,2021-06-19 01:56:35
214,Lazaro Cardenas,17.9583,-102.2,76.55,90,100,9.71,MX,overcast clouds,2021-06-19 01:56:36
215,Yerbogachen,61.2767,108.0108,65.41,64,96,4.79,RU,overcast clouds,2021-06-19 01:56:36
216,Geraldton,-28.7667,114.6,56.12,66,0,17.27,AU,clear sky,2021-06-19 01:54:57
217,Salinopolis,-0.6136,-47.3561,78.69,84,15,12.08,BR,few clouds,2021-06-19 01:56:37
218,Belmonte,-15.8631,-38.8828,75.7,87,71,8.46,BR,broken clouds,2021-06-19 01:56:37
219,Dikson,73.5069,80.5464,32.32,91,32,15.64,RU,scattered clouds,2021-06-19 01:56:38
220,Torbay,47.6666,-52.7314,61.57,64,75,8.05,CA,broken clouds,2021-06-19 01:52:55
221,Bubaque,11.2833,-15.8333,79.23,84,100,6.62,GW,moderate rain,2021-06-19 01:56:38
222,Namtsy,62.7161,129.6658,77.11,22,100,8.86,RU,overcast clouds,2021-06-19 01:56:38
223,Pevek,69.7008,170.3133,32.7,98,100,3.09,RU,overcast clouds,2021-06-19 01:56:39
224,Los Alamos,35.8881,-106.307,77.04,22,90,8.99,US,light rain,2021-06-19 01:56:39
225,Dawei,14.0833,98.2,82.78,78,88,3.15,MM,overcast clouds,2021-06-19 01:56:40
226,Port Lincoln,-34.7333,135.8667,56.46,59,62,7.11,AU,broken clouds,2021-06-19 01:56:40
227,Vallenar,-28.5708,-70.7581,53.04,80,1,1.32,CL,clear sky,2021-06-19 01:56:41
228,Antsohihy,-14.8796,47.9875,68.88,76,1,4.85,MG,clear sky,2021-06-19 01:56:41
229,Haverfordwest,51.8017,-4.9691,57.34,87,10,4.79,GB,clear sky,2021-06-19 01:56:41
230,Temir,49.1414,57.13,62.73,46,0,12.62,KZ,clear sky,2021-06-19 01:56:42
231,Mangla,31.8931,72.3817,94.06,32,0,4.29,PK,clear sky,2021-06-19 01:56:42
232,Praia Da Vitoria,38.7333,-27.0667,66.45,77,20,7.36,PT,few clouds,2021-06-19 01:56:43
233,Chara,56.9064,118.2631,56.62,87,100,2.68,RU,light rain,2021-06-19 01:56:43
234,Fairbanks,64.8378,-147.7164,77.09,42,20,0.0,US,few clouds,2021-06-19 01:56:44
235,Sahuaripa,29.05,-109.2333,102.51,17,47,13.82,MX,scattered clouds,2021-06-19 01:56:44
236,Aswan,24.0934,32.907,82.33,21,1,9.71,EG,clear sky,2021-06-19 01:56:45
237,Surt,31.2089,16.5887,70.45,75,0,7.72,LY,clear sky,2021-06-19 01:56:45
238,Baie-Comeau,49.2168,-68.1489,69.8,77,90,12.66,CA,overcast clouds,2021-06-19 01:56:46
239,San Patricio,28.017,-97.5169,86.09,67,74,7.27,US,broken clouds,2021-06-19 01:56:46
240,Shelburne,44.0787,-80.2041,70.29,87,44,9.62,CA,scattered clouds,2021-06-19 01:56:47
241,Bathsheba,13.2167,-59.5167,79.41,73,40,12.66,BB,scattered clouds,2021-06-19 01:56:47
242,Paamiut,61.994,-49.6678,42.12,77,100,19.66,GL,overcast clouds,2021-06-19 01:56:45
243,Teya,60.3778,92.6267,70.72,48,19,3.51,RU,few clouds,2021-06-19 01:56:48
244,Katsuura,35.1333,140.3,72.19,83,100,11.52,JP,overcast clouds,2021-06-19 01:46:55
245,Iqaluit,63.7506,-68.5145,31.73,100,90,3.0,CA,mist,2021-06-19 01:56:48
246,Nanortalik,60.1432,-45.2371,40.14,74,100,9.91,GL,overcast clouds,2021-06-19 01:56:49
247,Port Keats,-14.25,129.55,83.77,25,73,10.87,AU,broken clouds,2021-06-19 01:56:49
248,Cabo San Lucas,22.8909,-109.9124,95.5,72,0,15.86,MX,clear sky,2021-06-19 01:56:09
249,Jacobina,-11.1806,-40.5183,62.58,93,5,3.85,BR,clear sky,2021-06-19 01:56:50
250,Meulaboh,4.1363,96.1285,81.12,74,68,2.73,ID,broken clouds,2021-06-19 01:56:50
251,Ribeira Grande,38.5167,-28.7,65.93,79,7,6.04,PT,clear sky,2021-06-19 01:56:50
252,Baoshan,46.5586,131.4244,69.96,61,88,14.52,CN,light rain,2021-06-19 01:56:51
253,Saint-Pierre,-21.3393,55.4781,65.88,79,0,3.44,RE,clear sky,2021-06-19 01:56:51
254,Chalchihuites,23.4833,-103.8833,64.85,49,47,11.77,MX,scattered clouds,2021-06-19 01:56:52
255,Sorong,-0.8833,131.25,81.57,77,23,7.4,ID,few clouds,2021-06-19 01:54:25
256,Hamilton,39.1834,-84.5333,74.59,89,90,4.0,US,heavy intensity rain,2021-06-19 01:44:55
257,Deputatskiy,69.3,139.9,73.8,29,100,3.85,RU,overcast clouds,2021-06-19 01:56:53
258,Russell,32.3502,-85.1999,80.31,79,90,0.0,US,overcast clouds,2021-06-19 01:56:53
259,Orlik,52.5178,99.825,65.1,43,96,3.69,RU,overcast clouds,2021-06-19 01:56:54
260,Novochernorechenskiy,56.2669,91.0828,71.08,68,63,5.91,RU,broken clouds,2021-06-19 01:56:54
